Student Hash,Pre_Score,Post_Score,Group
student_001,59.96714153011233,84.2758200242564,Experimental
student_002,61.47688538100692,94.09203466304706,Experimental
student_003,52.658466252766644,76.48778146802074,Experimental
student_004,70.79212815507391,99.62930180083845,Experimental
student_005,50.30525614065048,78.01805635858031,Experimental
student_006,50.365823071875376,73.03717430402409,Experimental
student_007,57.41962271566034,72.85322149237135,Experimental
student_008,37.75082167486967,59.939384028664804,Experimental
student_009,44.87168879665576,71.44292545963214,Experimental
student_010,45.91975924478789,63.858240738111434,Experimental
student_011,69.65648768921554,93.52760618678286,Experimental
student_012,55.67528204687924,73.55154111581196,Experimental
student_013,49.556172754748175,75.11078570329751,Experimental
student_014,43.490064225776976,70.36855431750533,Experimental
student_015,48.99361310081195,72.53514435184556,Experimental
student_016,48.98293387770603,83.24432480025072,Experimental
student_017,54.86502775262066,74.57647310784117,Experimental
student_018,63.225449121031886,82.12123087117678,Experimental
student_019,57.08863595004755,72.29028533064867,Experimental
student_020,41.71813951101569,67.70244569036132,Experimental
student_021,62.38466579995411,88.24150720590396,Experimental
student_022,53.843517176117594,77.33799869817115,Experimental
student_023,40.214780096325725,61.61555905435218,Experimental
student_024,50.393612290402125,80.6792234214967,Experimental
student_025,58.43618289568462,74.62098211887096,Experimental
student_026,58.24083969394795,81.31542829186637,Experimental
student_027,48.23077999694041,76.28916144114476,Experimental
student_028,65.30999522495951,94.9663958205405,Experimental
student_029,46.607824767773614,70.06176288851753,Experimental
student_030,58.31263431403564,88.19035994964744,Experimental
student_031,50.2082576215471,60.908644784900375,Control
student_032,43.93665025993972,47.563203891375025,Control
student_033,63.125258223941984,84.61893842393775,Control
student_034,54.27989878419666,73.30462906944084,Control
student_035,58.61636025047634,66.10052196824047,Control
student_036,58.61395605508414,81.38021202034592,Control
student_037,54.64173960890049,77.59424519959853,Control
student_038,28.802548959102555,46.55586648972913,Control
student_039,55.870470682381715,65.77741922912064,Control
student_040,55.91760776535502,54.004625363148776,Control
student_041,52.80328112162488,67.3030691222071,Control
student_042,69.77894044741517,78.15104891949963,Control
student_043,46.91506397106812,55.40276466597636,Control
student_044,64.15402117702074,78.45527894463854,Control
student_045,49.70239796232961,65.2952699941231,Control
student_046,55.9707754934804,74.75129042721062,Control
student_047,47.979469061226474,57.6858340350421,Control
student_048,51.078918468678424,52.83431383175359,Control
student_049,57.96120277064576,71.78858967590499,Control
student_050,55.05113456642461,65.40902463279858,Control
student_051,40.84629257949586,49.90177532013834,Control
student_052,51.572854834732304,57.956913950180976,Control
student_053,53.387142883339905,68.21549888104167,Control
student_054,73.8618590121053,87.08390370192816,Control
student_055,57.57550390722764,69.05438249686448,Control
student_056,35.812287847009586,47.62669071886506,Control
student_057,55.60230209941027,84.84499688680727,Control
student_058,53.076390352188774,67.18722174852407,Control
student_059,54.65288230294757,58.472136039610845,Control
student_060,66.4282281451502,83.69175937395762,Control
