Student Hash,total_steps,Satisfaction (1-5),Difficulty (1-5),pct_G,pct_P,pct_S,sequence_score,independence_index,cluster
GPS_S_01,300,4.28285579052189,2.7728159647187605,0.24,0.42,0.34,0.19732441471571907,0.5148914689550732,1
GPS_S_02,315,4.278584998326893,2.805021797178077,0.24444444444444444,0.42857142857142855,0.326984126984127,0.20063694267515925,0.48561999057048566,1
GPS_S_03,311,4.311146833202749,2.7341515613286993,0.2765273311897106,0.3954983922829582,0.3279742765273312,0.2064516129032258,0.4878048780487805,1
GPS_S_04,316,4.287645799677581,2.7621136502724473,0.2120253164556962,0.4525316455696203,0.33544303797468356,0.20317460317460317,0.504521656354117,1
GPS_S_05,351,4.302960713186898,2.734718925395084,0.25071225071225073,0.41595441595441596,0.3333333333333333,0.21142857142857144,0.4997864160615122,1
GPS_S_06,356,4.2913051021673425,2.8255874707569797,0.2443820224719101,0.398876404494382,0.35674157303370785,0.2140845070422535,0.5543430816237451,1
GPS_S_07,352,4.304696174592518,2.769185551956774,0.20170454545454544,0.42329545454545453,0.375,0.1908831908831909,0.5997273966378919,1
GPS_S_08,352,4.2726885737878995,2.7719827320442807,0.22443181818181818,0.4630681818181818,0.3125,0.21937321937321938,0.4543577034283354,1
GPS_S_09,367,4.269368130477066,2.7394226783969726,0.25885558583106266,0.3978201634877384,0.34332425068119893,0.20491803278688525,0.5226047283284944,1
GPS_S_10,341,4.307795189862825,2.752742743305774,0.24633431085043989,0.41642228739002934,0.33724340175953077,0.21764705882352942,0.508624502432552,1
GPS_S_11,339,4.293215416512625,2.7639221222287316,0.22418879056047197,0.4424778761061947,0.3333333333333333,0.23372781065088757,0.49977885891198587,1
GPS_S_12,360,4.292674682186075,2.7577936119136095,0.23333333333333334,0.3972222222222222,0.36944444444444446,0.2116991643454039,0.5856450902686041,1
GPS_S_13,344,4.273777983035964,2.7851401596490692,0.25872093023255816,0.40406976744186046,0.3372093023255814,0.22157434402332363,0.5085488820692678,1
GPS_S_14,393,4.293262910974989,2.747105176751091,0.2697201017811705,0.38676844783715014,0.3435114503816794,0.2193877551020408,0.5230530802014722,1
GPS_S_15,368,4.290089387625444,2.7646635503688946,0.266304347826087,0.36684782608695654,0.36684782608695654,0.1880108991825613,0.5791505791505792,1
GPS_S_16,378,4.313619231068203,2.7346936440302105,0.2724867724867725,0.4126984126984127,0.3148148148148148,0.246684350132626,0.4592821304515631,1
GPS_S_17,388,4.2820028081020505,2.796780159942354,0.3118556701030928,0.3556701030927835,0.3324742268041237,0.2248062015503876,0.49787726746429944,1
GPS_S_18,375,4.306732600379148,2.750289949252278,0.22666666666666666,0.38666666666666666,0.38666666666666666,0.21657754010695188,0.6301607996523251,1
GPS_S_19,392,4.279869884454213,2.7711606146838577,0.29081632653061223,0.3622448979591837,0.3469387755102041,0.2020460358056266,0.5310425614994142,1
GPS_S_20,371,4.2975671340924,2.7596606506530645,0.25067385444743934,0.38005390835579517,0.3692722371967655,0.23783783783783785,0.5852199914566425,1
GPS_S_21,404,4.302982477185338,2.7776240087681585,0.2103960396039604,0.4306930693069307,0.3589108910891089,0.20595533498759305,0.5596294866846777,1
GPS_S_22,393,4.323144873943643,2.738306858279005,0.22137404580152673,0.3893129770992366,0.3893129770992366,0.21683673469387754,0.6372344856309871,1
GPS_S_23,376,4.304639793229167,2.7789068993301167,0.23138297872340424,0.375,0.39361702127659576,0.192,0.6488382288469969,1
GPS_S_24,393,4.296181097933527,2.7605904556301843,0.29770992366412213,0.34096692111959287,0.361323155216285,0.18112244897959184,0.5655117483074472,1
GPS_S_25,389,4.303153743905032,2.7900590483327763,0.2236503856041131,0.4087403598971722,0.3676092544987147,0.23711340206185566,0.5810646078829744,1
GPS_S_26,450,4.284415899402155,2.7289575914491504,0.2577777777777778,0.4622222222222222,0.28,0.18040089086859687,0.3887688984881209,1
GPS_S_27,441,4.2968856734981795,2.783592214746258,0.3287981859410431,0.3968253968253968,0.2743764172335601,0.2318181818181818,0.37800687285223367,1
GPS_S_28,442,4.310712303118061,2.7434303732968006,0.251131221719457,0.39819004524886875,0.3506787330316742,0.20861678004535147,0.5398815743643329,1
GPS_S_29,440,4.2996439364534105,2.7665384582253987,0.2863636363636364,0.40454545454545454,0.3090909090909091,0.21184510250569477,0.44722130878000654,1
GPS_S_30,429,4.2985679533223395,2.7555874390449153,0.25874125874125875,0.3916083916083916,0.34965034965034963,0.20093457943925233,0.5374417771408097,1
NON_S_01,46,4.28305468587114,2.6717455539172903,0.9130434782608695,0.021739130434782608,0.06521739130434782,0.022222222222222223,0.06960556844547564,2
NON_S_02,46,4.286260672070674,2.7944826044544,0.8260869565217391,0.10869565217391304,0.06521739130434782,0.08888888888888889,0.06960556844547564,2
NON_S_03,46,4.324517310522534,2.7974813954145312,0.8913043478260869,0.08695652173913043,0.021739130434782608,0.06666666666666667,0.022172949002217293,0
NON_S_04,46,4.378615473805972,2.7766140200244833,0.9565217391304348,0.021739130434782608,0.021739130434782608,0.022222222222222223,0.022172949002217293,0
NON_S_05,46,4.247952608149449,2.740728236499612,0.8913043478260869,0.08695652173913043,0.021739130434782608,0.06666666666666667,0.022172949002217293,2
NON_S_06,46,4.318026083457255,2.707883589829883,0.8695652173913043,0.10869565217391304,0.021739130434782608,0.1111111111111111,0.022172949002217293,0
NON_S_07,46,4.293137173767628,2.7221442970115457,0.9347826086956522,0.043478260869565216,0.021739130434782608,0.044444444444444446,0.022172949002217293,2
NON_S_08,46,4.271926349990407,2.6339025907804285,0.9347826086956522,0.043478260869565216,0.021739130434782608,0.044444444444444446,0.022172949002217293,2
NON_S_09,46,4.282410254478323,2.799733594871095,0.9565217391304348,0.043478260869565216,0.0,0.044444444444444446,0.0,2
NON_S_10,46,4.26958696696787,2.811540483951551,0.8695652173913043,0.10869565217391304,0.021739130434782608,0.1111111111111111,0.022172949002217293,2
NON_S_11,46,4.2943380195235425,2.712124677773067,0.8913043478260869,0.06521739130434782,0.043478260869565216,0.06666666666666667,0.045351473922902494,2
NON_S_12,46,4.301224666955612,2.7811529914729225,0.8913043478260869,0.06521739130434782,0.043478260869565216,0.06666666666666667,0.045351473922902494,2
NON_S_13,46,4.257310369211711,2.716011998939557,0.8913043478260869,0.06521739130434782,0.043478260869565216,0.044444444444444446,0.045351473922902494,2
